date,series_id,price
2022-12-01,GOLD,1801.0999755859375
2022-12-02,GOLD,1795.9000244140625
2022-12-05,GOLD,1767.4000244140625
2022-12-06,GOLD,1769.300048828125
2022-12-07,GOLD,1785.5
2022-12-08,GOLD,1788.699951171875
2022-12-09,GOLD,1798.0999755859375
2022-12-12,GOLD,1780.5
2022-12-13,GOLD,1813.9000244140625
2022-12-14,GOLD,1807.5
2022-12-15,GOLD,1777.199951171875
2022-12-16,GOLD,1790.0
2022-12-19,GOLD,1787.699951171875
2022-12-20,GOLD,1815.9000244140625
2022-12-21,GOLD,1815.9000244140625
2022-12-22,GOLD,1787.0
2022-12-23,GOLD,1795.9000244140625
2022-12-27,GOLD,1814.800048828125
2022-12-28,GOLD,1807.9000244140625
2022-12-29,GOLD,1819.5
2022-12-30,GOLD,1819.699951171875
2023-01-03,GOLD,1839.699951171875
2023-01-04,GOLD,1852.800048828125
2023-01-05,GOLD,1834.800048828125
2023-01-06,GOLD,1864.199951171875
2023-01-09,GOLD,1872.699951171875
2023-01-10,GOLD,1871.5999755859375
2023-01-11,GOLD,1874.5999755859375
2023-01-12,GOLD,1895.5
2023-01-13,GOLD,1918.4000244140625
2023-01-17,GOLD,1907.199951171875
2023-01-18,GOLD,1904.4000244140625
2023-01-19,GOLD,1922.0999755859375
2023-01-20,GOLD,1926.4000244140625
2023-01-23,GOLD,1927.0999755859375
2023-01-24,GOLD,1933.9000244140625
2023-01-25,GOLD,1941.199951171875
2023-01-26,GOLD,1929.0999755859375
2023-01-27,GOLD,1928.5999755859375
2023-01-30,GOLD,1922.9000244140625
2023-01-31,GOLD,1929.5
2023-02-01,GOLD,1927.800048828125
2023-02-02,GOLD,1916.300048828125
2023-02-03,GOLD,1862.9000244140625
2023-02-06,GOLD,1866.199951171875
2023-02-07,GOLD,1871.699951171875
2023-02-08,GOLD,1877.4000244140625
2023-02-09,GOLD,1866.199951171875
2023-02-10,GOLD,1862.800048828125
2023-02-13,GOLD,1851.9000244140625
2023-02-14,GOLD,1854.0
2023-02-15,GOLD,1834.199951171875
2023-02-16,GOLD,1842.0
2023-02-17,GOLD,1840.4000244140625
2023-02-21,GOLD,1833.0
2023-02-22,GOLD,1832.0
2023-02-23,GOLD,1818.0
2023-02-24,GOLD,1808.800048828125
2023-02-27,GOLD,1817.0
2023-02-28,GOLD,1828.9000244140625
2023-03-01,GOLD,1837.699951171875
2023-03-02,GOLD,1833.5
2023-03-03,GOLD,1847.699951171875
2023-03-06,GOLD,1847.9000244140625
2023-03-07,GOLD,1813.9000244140625
2023-03-08,GOLD,1812.699951171875
2023-03-09,GOLD,1829.300048828125
2023-03-10,GOLD,1862.0
2023-03-13,GOLD,1911.699951171875
2023-03-14,GOLD,1906.199951171875
2023-03-15,GOLD,1926.5999755859375
2023-03-16,GOLD,1919.0
2023-03-17,GOLD,1969.800048828125
2023-03-20,GOLD,1979.199951171875
2023-03-21,GOLD,1938.0
2023-03-22,GOLD,1946.800048828125
2023-03-23,GOLD,1993.800048828125
2023-03-24,GOLD,1982.0999755859375
2023-03-27,GOLD,1952.4000244140625
2023-03-28,GOLD,1972.4000244140625
2023-03-29,GOLD,1966.0999755859375
2023-03-30,GOLD,1980.300048828125
2023-03-31,GOLD,1969.0
2023-04-03,GOLD,1983.9000244140625
2023-04-04,GOLD,2022.199951171875
2023-04-05,GOLD,2020.9000244140625
